Geography;Population Density;year;code;Healthspd;Government Spending Score;Population;Obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;Rural Population;institutional_index;percentage_rural_pop;institutional_index_new;turismo
Kuwait;248;2019;KWT;2192,2;17,3;4420100;41,4;Asia;30/11/2020;142635;880;2,345;32952,12;203,301;71,3;;-0,466604335;;0,453231272;8565
Lebanon;670,2;2019;LBN;13,1;75,6;6855700;33,1;Asia;30/11/2020;127944;1018;8,514;18901,041;150,388;87,04;770700;-2,545670201;0,112417404;0,198578903;1936
Lesotho;70;2019;LSO;52,5;33;2125300;14,1;Africa;30/11/2020;2109;44;4,506;976,811;20,379;47,22;1517800;-1,266644704;0,714158001;0,355239102;1142
Liberia;51,3;2019;LBR;20,6;62,1;4937400;9,6;Africa;30/11/2020;1598;83;3,057;308,482;16,023;57,41;2388900;-2,327964988;0,483837647;0,225244315;0
Madagascar;46,4;2019;MDG;3,9;91,8;26969300;5,1;Africa;30/11/2020;17341;251;2,929;610,011;8,83;37,04;16758500;-2,248328701;0,621391731;0,234998488;486
Mauritius;625,5;2019;MUS;284,1;80,3;1269700;12,3;Africa;30/11/2020;504;10;10,945;395,782;7,853;16,67;752100;1,451433113;0,592344648;0,688160232;1418
Morocco;81,7;2019;MAR;34,8;72,7;36471800;27,5;Africa;30/11/2020;356336;5846;6,769;9541,787;156,541;66,2;13497600;-1,044210215;0,370083188;0,382483775;13109
Mozambique;38,6;2019;MOZ;12,9;66,9;30366000;6,4;Africa;30/11/2020;15701;131;3,158;488,169;4,073;56,48;19273900;-2,28061987;0,634719752;0,231043336;2033
Namibia;3;2019;NAM;169,6;48,9;2494500;15,7;Africa;30/11/2020;14380;151;3,552;5557,823;58,361;37,96;1221300;0,304093648;0,489597114;0,547629468;1651
Nigeria;220,7;2019;NGA;17;96,5;200963600;8,8;Africa;30/11/2020;67557;1173;2,751;319,568;5,549;50,93;98173000;-2,888498351;0,488511352;0,156587929;0
Oman;14,9;2019;OMN;402;32,5;4617900;29,3;Asia;30/11/2020;123699;1423;2,355;23681,81;272,429;42,59;672200;0,093882921;0,145564001;0,521882011;3506
Qatar;243,6;2019;QAT;919,7;56,8;2799200;41,6;Asia;30/11/2020;138833;237;1,307;47374,804;80,873;64,81;22700;0,681364908;0,00810946;0,593839173;2136,5
Senegal;84,6;2019;SEN;12,2;73,3;16296400;7,8;Africa;30/11/2020;16089;333;3,008;935,608;19,365;30,56;8530700;-0,396832253;0,523471442;0,461777238;0
