Geography;vae;pve;gee;rqe;rle;cce;Population Density;year;code;health_sp_2019;health_sp_2018;health_sp_2017;government_spending_score;population;obesity;continent;date;total_cases;total_deaths;aged_65_older;total_cases_per_million;total_deaths_per_million;stringency_index;gdp_per_capita;rural_population;tourism;unemployment;idh;escolaridade;institutional_index;percentage_rural_pop;sum_cont_stringency;count_cont_stringency;avg_stringency_index;institutional_index_new
Kazakhstan;-1,230226874;-0,168488279;0,124096215;0,136964887;-0,432169378;-0,305190027;6,8;2019;KAZ;197,7;167;197,5;83,7;18395600;22,6;Asia;2020-11-30;174563;2477;6,991;9189,965;130,403;69,91;24055,588;7822700;8515000;4,8;0,825;11,8;-1,129054348;0,425248429;1793,97;30;54,16096386;0,376335202
Malaysia;-0,049003709;0,143876836;0,997467577;0,673268259;0,59161371;0,252059162;99;2019;MYS;262,9;239,6;219,5;83,2;32523000;17,1;Asia;2020-11-30;65697;360;6,293;2004,412;10,984;80,09;26808,164;7390300;26101000;3,31;0,81;10,2;0,706289785;0,227233035;1793,97;30;54,16096386;0,601167968
Maldives;-0,463341206;0,032002181;-0,196180224;-0,479336858;-0,410215229;-0,262827486;1769,9;2019;MDV;35,9;35,4;33,1;60,8;531000;9,6;Asia;2020-11-30;13011;46;4,12;23933,998;84,618;;15183,616;317300;1703000;5,82;0,74;6,3;-1,135802023;0,597551789;1793,97;30;54,16096386;0,375508601
Mongolia;0,323754072;0,634378731;-0,195434153;-0,011855099;-0,266189814;-0,429029167;2,1;2019;MNG;79,6;63,5;63,3;63,1;3225200;20,9;Asia;2020-11-30;801;;4,031;240,592;;85,19;11840,846;1014500;637000;5,31;0,737;10,1;-0,462774864;0,314554136;1793,97;30;54,16096386;0,457955568
Myanmar;-0,857258737;-1,328067183;-1,149439931;-0,760788918;-1,063034415;-0,614939034;82,8;2019;MMR;15,5;14,1;12,3;85,4;54045400;6,3;Asia;2020-11-30;90713;1941;5,732;1655,165;35,416;79,63;5591,597;37371300;4364000;0,5;0,583;4,9;-2,714387029;0,691479756;1793,97;30;54,16096386;0,182129263
Nepal;-0,151117116;-0,453802615;-1,045521259;-0,701212466;-0,535384715;-0,673982084;199,6;2019;NPL;18,9;17,7;13,7;83,7;28608700;4,1;Asia;2020-11-30;233452;1508;5,809;7866,98;50,817;60,19;2442,804;22843200;1197000;2,85;0,602;4,9;-1,879866254;0,798470395;1793,97;30;54,16096386;0,284359472
Pakistan;-0,86280936;-2,265187025;-0,677135587;-0,644115686;-0,667431474;-0,866627336;280,9;2019;PAK;2,2;1,8;1,6;87,6;216565300;8,8;Asia;2020-11-30;400482;8091;4,495;1778,34;35,928;64,35;5034,708;128441800;;3,98;0,557;5,2;-2,729549922;0,593085781;1793,97;30;54,16096386;0,180271783
Papua New Guinea;0,093347594;-0,697371066;-0,809174836;-0,542677879;-0,801253855;-0,991485298;19,4;2019;PNG;32,6;30,9;26;89,1;8776100;20,9;Oceania;2020-11-30;656;7;3,808;71,938;0,768;37,96;3823,194;7613300;211000;2,37;0,555;4,6;-1,972847523;0,867503789;240,27;7;57,06660377;0,272969109
Philippines;0,006508442;-0,915112436;0,052008402;0,008369118;-0,476983458;-0,573050499;362,6;2019;PHL;36,2;33;29,7;88,7;108116600;6,8;Asia;2020-11-30;431630;8392;4,803;3886,916;75,572;68,98;7599,188;51721300;8261000;2,24;0,718;9,3;-1,157255727;0,478384448;1793,97;30;54,16096386;0,372880486
Samoa;0,77880162;1,157788515;0,43515414;-0,224663898;1,079298377;0,639852107;69,6;2019;WSM;166,7;157,9;162,6;62,3;197100;47,4;Oceania;2020-11-30;2;;5,606;9,993;;;6021,557;161500;181000;8,22;0,715;10,3;1,149196784;0,819381025;240,27;7;57,06660377;0,655424826
Solomon Islands;0,489839196;0,508222222;-0,999316156;-0,832089067;-0,139209732;-0,007193675;23,9;2019;SLB;96,7;111,9;115,8;36,5;669800;22,2;Oceania;2020-11-30;17;;3,507;24,148;;36,11;2205,923;507700;;0,6;0,567;5,5;-0,868835088;0,757987459;240,27;7;57,06660377;0,408212503
Sri Lanka;-0,088478222;-0,217622802;-0,11433927;-0,184431434;-0,01188005;-0,289158702;344,7;2019;LKA;60,1;55;50;88,3;21323700;6,1;Asia;2020-11-30;23987;118;10,069;1115,814;5,489;49,54;11669,077;17360700;2027000;4,27;0,782;10,9;-0,764725246;0,814150452;1793,97;30;54,16096386;0,420966135
Thailand;-0,84680748;-0,483683407;0,356567055;0,116497502;0,103169434;-0,41137436;136,3;2019;THA;99,4;93,1;85,3;85,8;69625600;12,2;Asia;2020-11-30;4008;60;11,373;57,297;0,858;50;16277,671;34333400;39916000;0,72;0,777;7,6;-0,816938415;0,493114602;1793,97;30;54,16096386;0,414569933
Uzbekistan;-1,65318501;-0,284819692;-0,514126718;-0,99222517;-1,048055768;-1,025923133;74,9;2019;UZB;42,6;31,8;21,7;67,4;32981700;16,9;Asia;2020-11-30;73094;610;4,469;2153,893;17,975;39,81;6253,104;16341900;6749000;5,65;0,72;11,5;-2,653555497;0,495483859;1793,97;30;54,16096386;0,189581229
Vanuatu;0,680369496;1,021924138;-0,547638059;-0,460593075;0,17900908;-0,258958757;24,6;2019;VUT;122,8;99,1;111,5;54,1;299900;25,2;Oceania;2020-11-30;1;;4,394;3,18;;30,56;2921,909;223700;256000;1,69;0,609;6,8;-0,254328112;0,745915305;240,27;7;57,06660377;0,483490648
Australia;1,267441392;0,911745727;1,571555257;1,873689413;1,734472513;1,825412989;3,3;2019;AUS;3874,2;3586,1;3508,8;60,1;25365700;32,1;Oceania;2020-11-30;27912;908;15,504;1082,355;35,21;64,35;44648,71;3519000;9466000;5,16;0,944;12,9;3,405879567;0,138730648;240,27;7;57,06660377;0,93187229
New Zealand;1,535292029;1,411302328;1,670557261;1,881057024;1,885100603;2,17017436;18,8;2019;NZL;3021,6;2658,9;2497,6;50,4;4941200;33,7;Oceania;2020-11-30;2059;25;15,322;423,607;5,143;22,22;36085,843;662200;3888000;4,07;0,931;12,5;3,944118193;0,134016028;240,27;7;57,06660377;0,997807433
Albania;0,142710745;0,11116863;-0,062213201;0,273867726;-0,411093265;-0,533088803;105,1;2019;ALB;170,1;157,1;144,6;73,9;2880900;23,9;Europe;2020-11-30;38182;810;13,188;13290,246;281,942;65,74;11803,431;1117000;6406000;11,47;0,795;10;-0,648323815;0,387726058;2018,06;32;52,7317284;0,435225507
